"id","cid","smiles","molecular_weight","new_average_distance"
23031426,45972115,"COC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3CC4=CC=CC=C4)C5=CC=NC=C5","507.1728960400001","0.53316295"
23031429,45972119,"C1OC2=C(O1)C=C(C=C2)NC(=O)C3=CC=C(C=C3)CSC4=NN=C(N4CC5=CC=CC=C5)C6=CC=NC=C6","521.152160596","0.5127257"
23031443,45972144,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)OC)C5=CC=NC=C5","537.1834607239999","0.50915635"
23031446,45972147,"CC1=CC=CC=C1N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC4=CC=C(C=C4)F)C5=CC=NC=C5","509.168559608","0.527145"
23031577,45972307,"CCC(C)NC(=O)C1=CC=C(C=C1)CSC2=NN=C(N2C3=CC(=CC=C3)Cl)C4=CC=NC=C4","477.139009068","0.51086766"
23031582,45972312,"CCN1CCN(CC1)C(=O)C2=CC=C(C=C2)CSC3=NN=C(N3CC)C4=CC=NC=C4","436.2045305160001","0.5314525"
23031611,45972347,"CC(C)CNC(=O)C1=CC=C(C=C1)CSC2=NN=C(N2C3=CC=C(C=C3)OC)C4=CC=NC=C4","473.188546104","0.5198565"
23031614,45972351,"COC1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCC4=CC=NC=C4)C5=CC=NC=C5","508.168145008","0.5317645"
23031616,45972353,"CC1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2)CSC3=NN=C(N3C4=CC=C(C=C4)OC)C5=CC=NC=C5","507.17289604000007","0.50728416"
23031657,45972406,"CC1=CC(=CC=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NCCOC)C4=CC=NC=C4","459.17289604","0.52226365"
23031659,45972408,"CCC(C)NC(=O)C1=CC=C(C=C1)CSC2=NN=C(N2C3=CC=CC(=C3)C)C4=CC=NC=C4","457.19363148400004","0.51816016"
23031661,45972410,"CC1=CC(=CC=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C(=O)NC4CC4)C5=CC=NC=C5","441.16233135600004","0.5212314"
23160900,46174527,"C1=CC=C(C(=C1)N)NC(=O)CCCCCC(=O)NC2=CC=C(C=C2)F","343.16960516399996","0.71957934"
23165294,46179731,"CC(C)(C)C1=CC=C(C=C1)N2C=C(N=N2)C3=CC(=CC=C3)NC(=O)CCCCCCC(=O)NO","463.258339916","0.7227796"
23165295,46179732,"C1CCC(CC1)N2C=C(N=N2)C3=CC(=CC=C3)NC(=O)CCCCCCC(=O)NO","413.242689852","0.67393506"
