"id","cid","smiles","molecular_weight","average_distance","new_average_distance"
2479536,2931886,"CC(CCC1=CC=CC=C1)NC(=O)C=CC2=CC=C(C=C2)OC","309.172878976","0.5068724","0.50215083"
2479575,2931926,"CC(C)(CNC(=O)C=CC1=CC=C(C=C1)OC)CNC(=O)C=CC2=CC=C(C=C2)OC","422.22055743999994","0.56852263","0.56852263"
2479714,2932065,"C1=CC=C(C=C1)CCCCNC(=O)C2=CC=C(C=C2)C(=O)NCCCCC3=CC=CC=C3","428.246378264","0.5533066","0.53559947"
2479720,2932071,"COC1=CC=C(C=C1)CCNC(=O)CCCC(=O)NCCC2=CC=C(C=C2)OC","398.22055744","0.53911954","0.5518449"
2479871,2932224,"C1=CC=C(C=C1)CCCNC(=O)CCCCC(=O)NCCCC2=CC=CC=C2","380.246378264","0.6878992","0.6764524"
2480558,2932917,"C1=CC=C(C=C1)CCCCNC(=O)CCCCC(=O)NCCCCC2=CC=CC=C2","408.277678392","0.6685714","0.65825784"
2334128,2781529,"C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCl","252.012411588","0.53690886","0.5259311"
2334423,2781827,"COC(=O)CCCCCCCC1=NC(=NO1)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F","438.13781182","0.538696","0.55721575"
2334433,2781837,"COC(=O)CCCCCCCC1=NC(=NO1)C2=CC=C(C=C2)OC(F)(F)F","386.145341812","0.61153996","0.6250364"
2480648,2933007,"C1=CC=C(C=C1)CCCNC(=O)CCCC(=O)NCCCC2=CC=CC=C2","366.2307282","0.6883117","0.68661284"
2480817,2933176,"C1CCCC(CCC1)NC(=O)CCCCC(=O)NC2CCCCCCC2","364.30897852","0.50396824","0.518254"
2480880,2933239,"C1=CC=C(C(=C1)NC(=O)C=CC2=CC=C(C=C2)Cl)NC(=O)C=CC3=CC=C(C=C3)Cl","436.074533176","0.5070284","0.51137626"
2480884,2933243,"C1=CC(=CC=C1CNC(=O)C=CC2=CC=C(C=C2)Cl)CNC(=O)C=CC3=CC=C(C=C3)Cl","464.105833304","0.49767298","0.50720805"
2481203,2933564,"C1=CC=C(C=C1)CCCCNC(=O)CCC(=O)NCCCCC2=CC=CC=C2","380.246378264","0.64238095","0.63010025"
2481407,2933773,"COC1=CC=C(C=C1)CCNC(=O)CCCCC(=O)NCCC2=CC=C(C=C2)OC","412.236207504","0.5386179","0.5440244"
2481510,2933879,"C1=CC=C(C=C1)CCCNC(=O)CCSCCC(=O)NCCCC2=CC=CC=C2","412.218449264","0.58163005","0.5673443"
2481551,2933920,"C1=CC=C(C=C1)CCC(=O)NCCCCNC(=O)CCC2=CC=CC=C2","352.215078136","0.66053957","0.66053957"
2485252,2937677,"COC1=CC=C(C=C1)C=CC(=O)NCC(=O)OC","249.10010796","0.56852263","0.56852263"
2336098,2783677,"C1=CC=C(C=C1)COC(=O)NCCCCN","222.136827816","0.50009453","0.5204483"
2336555,2784240,"CCCCCCCC(C(=O)NC1=CC=CC=C1)C(=O)NC2=CC=CC=C2","352.215078136","0.5719368","0.516326"
2338754,2787064,"CCOC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-]","381.132470708","0.504036","0.50273734"
2338886,2787197,"COC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O","338.12665705599994","0.6534223","0.6534922"
2338888,2787199,"COC1=CC=C(C=C1)C=CC(=O)NC2=C(C=C(C=C2)OC)OC","313.131408088","0.5407996","0.5490694"
2338890,2787201,"CC(C1=CC=CC=C1)NC(=O)C=CC2=CC=C(C=C2)OC","281.14157884800005","0.5096582","0.51109946"
2338896,2787207,"CC1=CC=C(C=C1)OCC(=O)NNC(=O)C=CC2=CC=C(C=C2)OC","340.14230712","0.5417808","0.5417808"
2338897,2787208,"COC1=CC=C(C=C1)C=CC(=O)NNC(=O)COC2=C(C=C(C=C2)Br)Br","481.947681192","0.49461606","0.50004286"
2338898,2787209,"CC1=CC(=CC(=C1)OCC(=O)NNC(=O)C=CC2=CC=C(C=C2)OC)C","354.157957184","0.5117634","0.5117634"
2338899,2787210,"CC1=C(C=C(C=C1)OCC(=O)NNC(=O)C=CC2=CC=C(C=C2)OC)C","354.157957184","0.5044146","0.505031"
2339001,2787313,"CCOC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C3=CC=C(C=C3)C","350.163042564","0.547876","0.5460947"
2339002,2787314,"CC1=CC=C(C=C1)C(=O)NC(CC2=CNC3=CC=CC=C32)C(=O)O","322.1317424359999","0.5132177","0.5146723"
2339128,2787441,"CCOC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C3=CC=C(C=C3)C(C)(C)C","392.209992756","0.53243905","0.5308344"
